"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","response"
"","1494.0000000002328","html-keyboard-response","921","1463064","0.0-4.0-1.0-1.37","","","match_memory","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>garasu<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/glass.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>beruto<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div><div class='header_mem' align='center' style='font-size: 18px;'><i> </i></div>","74","Memory","Object","garasu","beruto","match_word","../img/Objects/Alt/stapler.jpg","70","false","",""
"","2536","html-slider-response","922","1465601","0.0-4.0-1.0-2.37-0.37","","","memory_certainty","","","","","<div style='font-size: 20px;'<p>How confident are you of your choice?</p></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>garasu<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/glass.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'><u>beruto</u><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","","Memory","","","","","","","","","80"
"","null","html-keyboard-response","923","1466604","0.0-4.0-1.0-0.38","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","1375","html-keyboard-response","924","1467982","0.0-4.0-1.0-1.38","","","match_memory","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>koishi<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/trolley.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>kato<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div><div class='header_mem' align='center' style='font-size: 18px;'><i> </i></div>","70","Memory","Object","kato","koishi","match_word","../img/Objects/Alt/juicer.jpg","74","false","",""
"","2620","html-slider-response","925","1470604","0.0-4.0-1.0-2.38-0.38","","","memory_certainty","","","","","<div style='font-size: 20px;'<p>How confident are you of your choice?</p></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'><u>koishi</u><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/trolley.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>kato<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","","Memory","","","","","","","","","0"
"","null","html-keyboard-response","926","1471607","0.0-4.0-1.0-0.39","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","1971","html-keyboard-response","927","1473580","0.0-4.0-1.0-1.39","","","match_memory","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>omu<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Animals/parrot.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>hato<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div><div class='header_mem' align='center' style='font-size: 18px;'><i> </i></div>","70","Memory","Animal","omu","hato","match_word","../img/Animals/Alt/chameleon.jpg","70","true","",""
"","3030.999999999767","html-slider-response","928","1476614","0.0-4.0-1.0-2.39-0.39","","","memory_certainty","","","","","<div style='font-size: 20px;'<p>How confident are you of your choice?</p></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'><u>omu</u><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Animals/parrot.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>hato<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","","Memory","","","","","","","","","0"
"","null","html-keyboard-response","929","1477616","0.0-4.0-1.0-0.40","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","2425.000000000233","html-keyboard-response","930","1480045","0.0-4.0-1.0-1.40","","","match_memory","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>yagi<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Animals/goat.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>budo<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div><div class='header_mem' align='center' style='font-size: 18px;'><i> </i></div>","70","Memory","Animal","yagi","budo","match_word","../img/Animals/Alt/bull.jpg","70","true","",""
"","3046","html-slider-response","931","1483093","0.0-4.0-1.0-2.40-0.40","","","memory_certainty","","","","","<div style='font-size: 20px;'<p>How confident are you of your choice?</p></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'><u>yagi</u><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Animals/goat.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>budo<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","","Memory","","","","","","","","","30"
"","null","html-keyboard-response","932","1484095","0.0-4.0-1.0-0.41","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","953","html-keyboard-response","933","1485051","0.0-4.0-1.0-1.41","","","match_memory","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>kagami<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/mirror.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>shingo<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div><div class='header_mem' align='center' style='font-size: 18px;'><i> </i></div>","70","Memory","Object","kagami","shingo","match_word","../img/Objects/Alt/tennisbat.jpg","70","true","",""
"","2559.999999999767","html-slider-response","934","1487614","0.0-4.0-1.0-2.41-0.41","","","memory_certainty","","","","","<div style='font-size: 20px;'<p>How confident are you of your choice?</p></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'><u>kagami</u><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/mirror.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>shingo<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","","Memory","","","","","","","","","80"
"","null","html-keyboard-response","935","1488617","0.0-4.0-1.0-0.42","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","1885","html-keyboard-response","936","1490503","0.0-4.0-1.0-1.42","","","match_memory","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>hamabe<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/lamp.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>sutando<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div><div class='header_mem' align='center' style='font-size: 18px;'><i> </i></div>","74","Memory","Object","sutando","hamabe","match_word","../img/Objects/Alt/guitar.jpg","74","true","",""
"","1996.9999999997672","html-slider-response","937","1492503","0.0-4.0-1.0-2.42-0.42","","","memory_certainty","","","","","<div style='font-size: 20px;'<p>How confident are you of your choice?</p></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>hamabe<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/lamp.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'><u>sutando</u><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","","Memory","","","","","","","","","80"
"","null","html-keyboard-response","938","1493506","0.0-4.0-1.0-0.43","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","919","html-keyboard-response","939","1494428","0.0-4.0-1.0-1.43","","","match_memory","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>isha<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/book.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>hon<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div><div class='header_mem' align='center' style='font-size: 18px;'><i> </i></div>","70","Memory","Object","hon","isha","match_word","../img/Objects/Alt/bag.jpg","74","false","",""
"","2289","html-slider-response","940","1496718","0.0-4.0-1.0-2.43-0.43","","","memory_certainty","","","","","<div style='font-size: 20px;'<p>How confident are you of your choice?</p></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'><u>isha</u><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/book.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>hon<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","","Memory","","","","","","","","","100"
"","null","html-keyboard-response","941","1497721","0.0-4.0-1.0-0.44","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","1664","html-keyboard-response","942","1499388","0.0-4.0-1.0-1.44","","","match_memory","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>mune<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/ruler.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>jogi<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div><div class='header_mem' align='center' style='font-size: 18px;'><i> </i></div>","74","Memory","Object","jogi","mune","match_word","../img/Objects/Alt/rope.jpg","74","true","",""
"","2820","html-slider-response","943","1502213","0.0-4.0-1.0-2.44-0.44","","","memory_certainty","","","","","<div style='font-size: 20px;'<p>How confident are you of your choice?</p></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>mune<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/ruler.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'><u>jogi</u><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","","Memory","","","","","","","","","0"
"","null","html-keyboard-response","944","1503216","0.0-4.0-1.0-0.45","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","",""
"","1564","html-keyboard-response","945","1504783","0.0-4.0-1.0-1.45","","","match_memory","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>tenjo<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Animals/eagle.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>washi<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div><div class='header_mem' align='center' style='font-size: 18px;'><i> </i></div>","70","Memory","Animal","washi","tenjo","match_word","../img/Animals/Alt/penguin.jpg","74","false","",""
