view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,word_phase,response,certainty
,null,html-keyboard-response,278,450852,0.0-2.0-1.0-1.0,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>ahiru</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Animals/duck.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,Phase 2,Animal,ahiru,senaka,,,,,,,,
,null,html-keyboard-response,279,451856,0.0-2.0-1.0-2.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,,
,1160.565,html-keyboard-response,280,453020,0.0-2.0-1.0-3.0,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Animals/duck2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>ahiru</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Animals/Alt/donkey.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,Phase 2,Animal,ahiru,senaka,match_image,../img/Animals/Alt/donkey.jpg,70,TRUE,,,,
,null,html-keyboard-response,281,455036,0.0-2.0-1.0-4.0,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #1f971f;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Animals/duck2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>ahiru</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Animals/Alt/donkey.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,Phase 2,Animal,ahiru,senaka,,,,,,,,
,null,html-keyboard-response,282,457049,0.0-2.0-1.0-5.0,,,reward,,,,,<div style='padding-top:50px; font-size: 35px; color:black;'><p><b>You earned +1p</b></div><div class='frame'><span class='helper'></span><img src='../img/greystar.jpg' style='vertical-align:middle' height='240px' width='240px'></div><div style='font-size: 27px;color:black;'><p><b> Total bonus: £0.01 </b></div>,null,Phase 2,Animal,ahiru,senaka,,,,,0.01,,,
,null,html-keyboard-response,283,458053,0.0-2.0-1.0-0.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,,
,null,html-keyboard-response,284,460062,0.0-2.0-1.0-1.1,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>omocha</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Objects/toys.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,Phase 2,Object,omocha,tamago,,,,,,,,
,null,html-keyboard-response,285,461073,0.0-2.0-1.0-2.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,,
,1149.805,html-keyboard-response,286,462225,0.0-2.0-1.0-3.1,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>omocha<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/toys2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>tamago<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,Phase 2,Object,omocha,tamago,match_word,../img/Objects/Alt/usb.jpg,70,TRUE,,,,
,null,html-keyboard-response,287,464237,0.0-2.0-1.0-4.1,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #1f971f;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px; color:#1f971f;'class='Column'>omocha<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/toys2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px; color:#d61818;'class='Column'>tamago<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,Phase 2,Object,omocha,tamago,,,,,,,,
